FirstName,President,Date,delivery,nwords,type,filename,party
William J.,Clinton,"February 17, 1993",spoken,7003,other,su1993.txt,Democratic
William J.,Clinton,"January 25, 1994",spoken,7432,SOTU,su1994.txt,Democratic
William J.,Clinton,"January 24, 1995",spoken,9190,SOTU,su1995.txt,Democratic
William J.,Clinton,"January 23, 1996",spoken,6317,SOTU,su1996.txt,Democratic
William J.,Clinton,"February 4, 1997",spoken,6774,SOTU,su1997.txt,Democratic
William J.,Clinton,"January 27, 1998",spoken,7303,SOTU,su1998.txt,Democratic
William J.,Clinton,"January 19, 1999",spoken,7514,SOTU,su1999.txt,Democratic
William J.,Clinton,"January 27, 2000",spoken,7452,SOTU,su2000.txt,Democratic
George W.,Bush,"February 27, 2001",spoken,4362,other,su2001.txt,Republican
George W.,Bush,"January 29, 2002",spoken,3878,SOTU,su2002.txt,Republican
George W.,Bush,"January 28, 2003",spoken,5413,SOTU,su2003.txt,Republican
George W.,Bush,"January 20, 2004",spoken,5229,SOTU,su2004.txt,Republican
George W.,Bush,"February 2, 2005",spoken,5096,SOTU,su2005.txt,Republican
George W.,Bush,"January 31, 2006",spoken,5323,SOTU,su2006.txt,Republican
George W.,Bush,"January 23, 2007",spoken,5590,SOTU,su2007.txt,Republican
George W.,Bush,"January 28, 2008",spoken,5760,SOTU,su2008.txt,Republican
Barack,Obama,"February 24, 2009",spoken,5902,other,su2009.txt,Democratic
Barack,Obama,"January 27, 2010",spoken,7304,SOTU,su2010.txt,Democratic
Barack,Obama,"January 25, 2011",spoken,6878,SOTU,su2011.txt,Democratic
Barack,Obama,"January 24, 2012",spoken,7059,SOTU,su2012.txt,Democratic
Barack,Obama,"February 12, 2013",spoken,6775,SOTU,su2013.txt,Democratic
Barack,Obama,"January 28, 2014",spoken,6989,SOTU,su2014.txt,Democratic
Barack,Obama,"January 20, 2015",spoken,6718,SOTU,su2015.txt,Democratic
